ST	penA	mtrR	porB	ponA	gyrA	parC	23S
739	288	147	8	1	1	3	100
740	23	54	100	1	1	18	100
741	20	148	3	100	100	1	100
743	228	149	14	1	7	15	100
744	288	150	100	1	1	3	100
745	20	73	3	1	100	2	100
746	23	19	45	100	1	18	100
747	20	151	3	100	100	1	100
748	291	1	11	1	7	24	100
749	17	103	100	100	100	1	100
750	294	152	100	100	100	7	100
751	285	105	5	100	100	2	100
752	23	19	8	100	1	31	100
753	166	123	13	1	100	1	100
754	166	123	14	1	100	1	100
755	166	123	13	1	100	100	100
758	266	1	100	1	1	3	2
769	228	38	1	1	7	15	9
774	20	15	3	100	100	7	100
776	285	10	3	100	1	49	100
777	294	29	13	100	100	7	100
778	23	40	13	100	7	4	16
779	23	40	13	100	7	55	100
780	23	19	3	1	7	3	9
783	502	1	1	1	1	3	100
798	23	19	13	1	7	3	100
801	294	49	13	100	7	20	100
803	515	1	3	1	100	2	100
806	22	25	1	100	100	100	2
810	166	25	1	100	100	100	2
827	23	125	14	1	100	7	100
828	23	19	9	1	7	3	1
829	166	123	14	1	100	100	100
830	166	16	13	100	1	18	100
831	228	47	12	1	7	20	100
832	1147	1	100	1	100	2	100
833	23	10	14	100	1	26	100
836	515	54	14	1	7	20	100
837	23	54	19	100	100	2	100
838	20	127	3	100	100	7	100
839	166	123	14	100	100	1	100
840	166	123	100	1	100	1	100
841	20	123	100	100	100	1	100
842	166	123	100	1	20	1	100
843	166	123	14	1	20	1	100
844	166	123	100	1	100	100	100
845	166	9	100	100	100	100	100
846	18	5	100	100	100	2	100
847	17	1	14	1	7	2	100
848	17	15	14	100	100	7	100
849	17	18	100	1	7	2	100
850	17	162	1	100	100	1	100
851	1239	5	100	100	100	1	100
852	1928	5	100	100	100	1	100
853	14	1	12	1	1	3	100
854	14	19	8	1	1	3	100
855	14	25	8	1	1	5	100
856	286	1	8	1	100	2	100
857	21	1	11	1	1	3	100
858	21	19	8	1	1	3	100
859	294	5	3	100	100	7	100
860	294	9	1	100	100	100	100
861	294	10	100	1	7	7	100
862	294	10	100	1	100	7	100
863	294	10	100	100	100	3	100
864	294	11	100	100	100	2	100
865	294	18	100	100	100	2	100
866	294	29	8	100	100	7	100
867	22	5	100	100	100	2	100
868	228	5	4	1	7	33	100
869	228	10	13	1	7	26	100
870	228	15	100	1	7	15	100
871	228	24	12	1	7	15	100
872	228	25	4	1	7	33	100
873	228	25	16	1	7	43	100
874	228	38	11	1	7	55	100
875	228	38	12	1	7	55	100
876	228	38	21	1	7	15	100
877	228	38	100	1	7	55	100
878	228	64	4	1	7	33	100
879	228	139	100	1	7	3	100
880	228	163	12	100	1	2	100
881	166	1	3	100	1	100	2
882	166	9	1	100	100	100	6
883	166	9	8	100	100	100	100
